soak start 2026-09-22T01:39:25+08:00 for 2h
iter=244 rc=0 mem=0 MB 2026-09-22T02:19:53+08:00
iter=245 rc=0 mem=0 MB 2026-09-22T02:20:03+08:00
iter=246 rc=0 mem=0 MB 2026-09-22T02:20:14+08:00
iter=247 rc=0 mem=0 MB 2026-09-22T02:20:24+08:00
iter=248 rc=0 mem=0 MB 2026-09-22T02:20:33+08:00
iter=249 rc=0 mem=0 MB 2026-09-22T02:20:43+08:00
iter=250 rc=0 mem=0 MB 2026-09-22T02:20:52+08:00
iter=251 rc=0 mem=0 MB 2026-09-22T02:21:02+08:00
iter=252 rc=0 mem=0 MB 2026-09-22T02:21:11+08:00
iter=253 rc=0 mem=0 MB 2026-09-22T02:21:21+08:00
iter=254 rc=0 mem=0 MB 2026-09-22T02:21:30+08:00
iter=255 rc=0 mem=0 MB 2026-09-22T02:21:40+08:00
iter=256 rc=0 mem=0 MB 2026-09-22T02:21:50+08:00
iter=257 rc=0 mem=0 MB 2026-09-22T02:21:59+08:00
iter=258 rc=0 mem=0 MB 2026-09-22T02:22:09+08:00
iter=259 rc=0 mem=0 MB 2026-09-22T02:22:19+08:00
iter=260 rc=0 mem=0 MB 2026-09-22T02:22:28+08:00
iter=261 rc=0 mem=0 MB 2026-09-22T02:22:37+08:00
iter=262 rc=0 mem=0 MB 2026-09-22T02:22:47+08:00
iter=263 rc=0 mem=0 MB 2026-09-22T02:22:59+08:00
iter=264 rc=0 mem=0 MB 2026-09-22T02:23:08+08:00
iter=265 rc=0 mem=0 MB 2026-09-22T02:23:17+08:00
iter=266 rc=0 mem=0 MB 2026-09-22T02:23:27+08:00
iter=267 rc=0 mem=0 MB 2026-09-22T02:23:37+08:00
iter=268 rc=0 mem=0 MB 2026-09-22T02:23:46+08:00
iter=269 rc=0 mem=0 MB 2026-09-22T02:23:56+08:00
iter=270 rc=0 mem=0 MB 2026-09-22T02:24:06+08:00
iter=271 rc=0 mem=0 MB 2026-09-22T02:24:15+08:00
iter=272 rc=0 mem=0 MB 2026-09-22T02:24:25+08:00
iter=273 rc=0 mem=0 MB 2026-09-22T02:24:34+08:00
iter=274 rc=0 mem=0 MB 2026-09-22T02:24:45+08:00
iter=275 rc=0 mem=0 MB 2026-09-22T02:24:55+08:00
iter=276 rc=0 mem=0 MB 2026-09-22T02:25:04+08:00
iter=277 rc=0 mem=0 MB 2026-09-22T02:25:14+08:00
iter=278 rc=0 mem=0 MB 2026-09-22T02:25:23+08:00
iter=279 rc=0 mem=0 MB 2026-09-22T02:25:33+08:00
iter=280 rc=0 mem=0 MB 2026-09-22T02:25:43+08:00
iter=281 rc=0 mem=0 MB 2026-09-22T02:25:52+08:00
iter=282 rc=0 mem=0 MB 2026-09-22T02:26:01+08:00
iter=283 rc=0 mem=0 MB 2026-09-22T02:26:11+08:00
iter=284 rc=0 mem=0 MB 2026-09-22T02:26:21+08:00
iter=285 rc=0 mem=0 MB 2026-09-22T02:26:30+08:00
iter=286 rc=0 mem=0 MB 2026-09-22T02:26:40+08:00
iter=287 rc=0 mem=0 MB 2026-09-22T02:26:50+08:00
iter=288 rc=0 mem=0 MB 2026-09-22T02:26:59+08:00
iter=289 rc=0 mem=0 MB 2026-09-22T02:27:08+08:00
iter=290 rc=0 mem=0 MB 2026-09-22T02:27:18+08:00
iter=291 rc=0 mem=0 MB 2026-09-22T02:27:28+08:00
iter=292 rc=0 mem=0 MB 2026-09-22T02:27:37+08:00
iter=293 rc=0 mem=0 MB 2026-09-22T02:27:46+08:00
iter=294 rc=0 mem=0 MB 2026-09-22T02:27:56+08:00
iter=295 rc=0 mem=0 MB 2026-09-22T02:28:05+08:00
iter=296 rc=0 mem=0 MB 2026-09-22T02:28:19+08:00
iter=297 rc=0 mem=0 MB 2026-09-22T02:28:28+08:00
iter=298 rc=0 mem=0 MB 2026-09-22T02:28:37+08:00
